
"Drew Lock","Austin Ekeler","J.D. McKissic","Davante Adams","Adam Thielen","Tim Patrick","Evan Engram","Curtis Samuel","Seahawks ","257.9"
"Drew Lock","Chris Carson","David Montgomery","Robby Anderson","Corey Davis","Tim Patrick","Travis Kelce","Wayne Gallman Jr.","Eagles ","324.0"
"Tua Tagovailoa","Derrick Henry","David Montgomery","Tyreek Hill","Brandin Cooks","Nelson Agholor","Logan Thomas","Mack Hollins","Saints ","268.6"
"Drew Lock","Austin Ekeler","James Robinson","Curtis Samuel","Tee Higgins","KJ Hamler","Travis Kelce","Ronald Jones II","Saints ","350.4"
"Russell Wilson","Derrick Henry","DeAndre Washington","Tyreek Hill","Jamison Crowder","Nelson Agholor","T.J. Hockenson","David Moore","Cowboys ","233.7"
"Drew Lock","Aaron Jones","Austin Ekeler","DeAndre Hopkins","Robby Anderson","KJ Hamler","Travis Kelce","Keelan Cole Sr.","Cowboys ","304.8"
"Ryan Tannehill","Aaron Jones","Austin Ekeler","Brandin Cooks","Corey Davis","Keelan Cole Sr.","Jimmy Graham","Alvin Kamara","Seahawks ","317.9"
"Ryan Tannehill","Aaron Jones","Austin Ekeler","Calvin Ridley","Corey Davis","Michael Gallup","T.J. Hockenson","Keelan Cole Sr.","Buccaneers ","292.7"
"Drew Lock","Aaron Jones","Wayne Gallman Jr.","Calvin Ridley","Mike Evans","Tim Patrick","T.J. Hockenson","Curtis Samuel","Seahawks ","265.3"
"Justin Herbert","Chris Carson","Wayne Gallman Jr.","Keenan Allen","Chris Godwin","Curtis Samuel","Irv Smith Jr.","Russell Gage","Saints ","305.1"
"Mitchell Trubisky","Derrick Henry","Alvin Kamara","Tyreek Hill","Curtis Samuel","Keke Coutee","T.J. Hockenson","Darnell Mooney","Cowboys ","271.1"
"Tua Tagovailoa","Chris Carson","Kenyan Drake","Brandin Cooks","Chris Godwin","DeVante Parker","Travis Kelce","Darnell Mooney","Saints ","227.2"
"Mitchell Trubisky","James Robinson","Melvin Gordon III","DK Metcalf","Brandin Cooks","Corey Davis","Jimmy Graham","Nelson Agholor","Saints ","235.3"
"Drew Lock","Aaron Jones","Alvin Kamara","Robby Anderson","Corey Davis","DeVante Parker","T.J. Hockenson","Tim Patrick","Seahawks ","316.1"
"Mitchell Trubisky","Aaron Jones","Josh Jacobs","Allen Robinson II","Brandin Cooks","Robby Anderson","Dan Arnold","DeAndre Washington","Saints ","300.0"
"Mitchell Trubisky","Aaron Jones","Wayne Gallman Jr.","Adam Thielen","Brandin Cooks","Robby Anderson","Jimmy Graham","Corey Davis","Seahawks ","270.8"
"Drew Lock","Austin Ekeler","Kenyan Drake","Davante Adams","Justin Jefferson","Curtis Samuel","T.J. Hockenson","KJ Hamler","Cowboys ","320.6"
"Tom Brady","DeAndre Washington","Melvin Gordon III","Adam Thielen","Brandin Cooks","Chris Godwin","T.J. Hockenson","Tyler Lockett","Bengals ","262.2"
"Drew Lock","Aaron Jones","DeAndre Washington","Keenan Allen","Mike Evans","Tim Patrick","Travis Kelce","Curtis Samuel","Eagles ","289.2"
